movie_name,ranking,score,score_num
无敌破坏王,187,8.7,442382
你看起来好像很好吃,188,8.9,282898
冰川时代,189,8.6,520175
爱在午夜降临前,190,8.8,296718
九品芝麻官,191,8.6,509541
雨人,192,8.7,345750
疯狂的石头,193,8.5,671784
恋恋笔记本,194,8.5,548031
恐怖游轮,195,8.5,663695
雨中曲,196,9.1,173360
魔女宅急便,197,8.7,382792
色，戒,198,8.5,588425
2001太空漫游,199,8.8,247227
奇迹男孩,200,8.6,477816
虎口脱险,201,8.9,201523
海边的曼彻斯特,202,8.6,403871
人工智能,203,8.7,366960
可可西里,204,8.8,247691
城市之光,205,9.3,112793
初恋这件小事,206,8.4,854543
房间,207,8.8,323913
罗生门,208,8.8,255836
二十二,209,8.7,244465
终结者2：审判日,210,8.7,290340
大佛普拉斯,211,8.7,346978
遗愿清单,212,8.7,337559
牯岭街少年杀人事件,213,8.9,218684
波西米亚狂想曲,214,8.7,484627
源代码,215,8.5,688405
魂断蓝桥,216,8.8,231217
新龙门客栈,217,8.6,368283
青蛇,218,8.6,428246
疯狂的麦克斯4：狂暴之路,219,8.6,435354
无耻混蛋,220,8.6,396646
步履不停,221,8.8,225001
血钻,222,8.7,306309
东京教父,223,9.0,154145
无间道2,224,8.6,353841
燃情岁月,225,8.8,244228
海洋,226,9.1,141156
彗星来的那一夜,227,8.5,439407
谍影重重2,228,8.7,297684
战争之王,229,8.7,296230
穿越时空的少女,230,8.6,329250
阿飞正传,231,8.5,416986
地球上的星星,232,8.9,174960
完美陌生人,233,8.5,455209
千钧一发,234,8.8,221859
谍影重重,235,8.6,355917
东京物语,236,9.2,112043
黑客帝国2：重装上阵,237,8.6,317890
香水,238,8.5,469241
崖上的波妞,239,8.6,388154
我爱你,240,9.1,137177
再次出发之纽约遇见你,241,8.6,355083
朗读者,242,8.6,400688
茶馆,243,9.5,72543
聚焦,244,8.8,236658
驴得水,245,8.3,773825
浪潮,246,8.7,230493
猜火车,247,8.5,366515
小萝莉的猴神大叔,248,8.4,416868
爱乐之城,249,8.4,687053
追随,250,8.9,153764
